index	name	relative_offset	rom_offset	size
0	scene50.cam	0x000000	0x00CD28	0x3C4
1	overlay5.pal	0x0003C4	0x00D0EC	0x200
2	overlay5.img	0x0005C4	0x00D2EC	0x4000
3	scene51.cam	0x0045C4	0x0112EC	0x3C4
4	scene50.v	0x004988	0x0116B0	0x904
5	scene42.cam	0x00528C	0x011FB4	0x3C4
6	tunnel1fade.img	0x005650	0x012378	0x4B00
7	scene51.v	0x00A150	0x016E78	0x404
8	scene50.f	0x00A554	0x01727C	0x244
9	scene51.f	0x00A798	0x0174C0	0x1E4
10	pallokartta.pal	0x00A97C	0x0176A4	0x200
11	pallokartta.img	0x00AB7C	0x0178A4	0x10000
12	palloseinae.pal	0x01AB7C	0x0278A4	0x200
13	palloseinae.img	0x01AD7C	0x027AA4	0x10000
14	scene52.cam	0x02AD7C	0x037AA4	0x3C4
15	overlay3.pal	0x02B140	0x037E68	0x200
16	overlay3.img	0x02B340	0x038068	0x4000
17	overlay4.pal	0x02F340	0x03C068	0x200
18	overlay4.img	0x02F540	0x03C268	0x4000
19	scene52.v	0x033540	0x040268	0x204
20	scene52.f	0x033744	0x04046C	0x94
21	scene53.cam	0x0337D8	0x040500	0x0
22	overlay2.pal	0x0337D8	0x040500	0x200
23	overlay2.img	0x0339D8	0x040700	0x4000
24	scene43.cam	0x0379D8	0x044700	0x3C4
25	scene44.cam	0x037D9C	0x044AC4	0x3C4
26	scene45.cam	0x038160	0x044E88	0x0
27	scene6texture.pal	0x038160	0x044E88	0x200
28	scene60.cam	0x038360	0x045088	0x3C4
29	scene61.cam	0x038724	0x04544C	0x0
30	ring.v	0x038724	0x04544C	0x724
31	ring.f	0x038E48	0x045B70	0x280
32	scene60.v	0x0390C8	0x045DF0	0x44
33	scene60.f	0x03910C	0x045E34	0x10
34	tausta2.pal	0x03911C	0x045E44	0x200
35	tausta2.img	0x03931C	0x046044	0x9600
36	tausta2.tab	0x04291C	0x04F644	0x2000
37	tausta3.pal	0x04491C	0x051644	0x200
38	tausta3.img	0x044B1C	0x051844	0x9600
39	scene6texture.img	0x04E11C	0x05AE44	0x10000
40	scene1.cam	0x05E11C	0x06AE44	0x3C4
41	overlay6.pal	0x05E4E0	0x06B208	0x200
42	overlay6.img	0x05E6E0	0x06B408	0x4000
43	scene1texture.pal	0x0626E0	0x06F408	0x200
44	scene1texture.img	0x0628E0	0x06F608	0x10000
45	tunnel1texture.pal	0x0728E0	0x07F608	0x200
46	overlay7.pal	0x072AE0	0x07F808	0x200
47	overlay7.img	0x072CE0	0x07FA08	0x4000
48	scene70.cam	0x076CE0	0x083A08	0x3C4
49	scene71.cam	0x0770A4	0x083DCC	0x0
50	scene70.v	0x0770A4	0x083DCC	0x924
51	scene70.f	0x0779C8	0x0846F0	0x34C
52	tausta4.pal	0x077D14	0x084A3C	0x200
53	tausta4.img	0x077F14	0x084C3C	0x9600
54	intro.pal	0x081514	0x08E23C	0x200
55	intro.img	0x081714	0x08E43C	0x9600
56	scene80.cam	0x08AD14	0x097A3C	0x3C4
57	ring0.v	0x08B0D8	0x097E00	0x2E4
58	ring1.v	0x08B3BC	0x0980E4	0x444
59	ring0.f	0x08B800	0x098528	0xA0
60	ring1.f	0x08B8A0	0x0985C8	0x1E4
61	scene10.v	0x08BA84	0x0987AC	0x19E4
62	scene11.v	0x08D468	0x09A190	0x144
