MC-VIRUS Krawall module and sync timeline
ROM module root: 0x226AEC
channels=12 orders=34 restart=0 patterns=34
order=[2, 3, 4, 5, 14, 6, 7, 8, 9, 10, 11, 12, 13, 15, 1, 0, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]
global_volume=128 speed=6 BPM_field=174 flags=[1, 1, 0, 0, 0, 0]
sample_rate=32768; tick_samples=468; row_samples=2808
tick_seconds=0.014282226562; row_seconds=0.085693359375
effective_BPM=175.042735042735
No speed, tempo, jump, break, loop, or pattern-delay effects occur.

PART TRANSITIONS
part	order	pattern	row	global_row	sample_from_krapPlay	sec_from_krapPlay	sec_from_first_part	vblank_equiv_from_krapPlay	vblank_equiv_from_first_part
1	0	2	0	0	468	0.014282227	0.000000000	0.853042	0.000000
7	4	14	0	256	719316	21.951782227	21.937500000	1311.125085	1310.272044
1	5	6	63	383	1075932	32.834838867	32.820556641	1961.142857	1960.289815
7	7	8	0	448	1258452	38.404907227	38.390625000	2293.829118	2292.976077
5	8	9	0	512	1438164	43.889282227	43.875000000	2621.397129	2620.544087
9	10	11	0	640	1797588	54.858032227	54.843750000	3276.533151	3275.680109
5	12	13	0	768	2157012	65.826782227	65.812500000	3931.669173	3930.816131
2	14	1	0	896	2516436	76.795532227	76.781250000	4586.805195	4585.952153
6	15	0	0	960	2696148	82.279907227	82.265625000	4914.373206	4913.520164
2	16	16	0	1024	2875860	87.764282227	87.750000000	5241.941217	5241.088175
6	17	17	0	1088	3055572	93.248657227	93.234375000	5569.509228	5568.656186
4	17	17	63	1151	3232476	98.647338867	98.633056641	5891.958988	5891.105947
10	20	20	31	1311	3681756	112.358276367	112.343994141	6710.879016	6710.025974
8	22	22	0	1408	3954132	120.670532227	120.656250000	7207.349282	7206.496241
12	25	25	63	1663	4670172	142.522338867	142.508056641	8512.503076	8511.650034
10	26	26	63	1727	4849884	148.006713867	147.992431641	8840.071087	8839.218045
12	27	27	35	1763	4950972	151.091674805	151.077392578	9024.328093	9023.475051
13	27	27	63	1791	5029596	153.491088867	153.476806641	9167.639098	9166.786056
14	30	30	0	1920	5391828	164.545532227	164.531250000	9827.893370	9827.040328
11	32	32	0	2048	5751252	175.514282227	175.500000000	10483.029392	10482.176350

total_rows=2176
Krawall processes final row/stops channels at sample=6107868, t=186.397338867s

ALL RAW Zxx MARKERS (callback order)
order	pattern	row	global_row	channel	Zxx	sample_from_krapPlay	sec_from_krapPlay	vblank_equiv	semantics
0	2	0	0	10	Z20	468	0.014282227	0.853042	cue20=0
0	2	0	0	11	ZF1	468	0.014282227	0.853042	part=1; part_vblank=0; aux_part_vblank=0
4	14	0	256	10	ZC0	719316	21.951782227	1311.125085	subpart=0; subpart_vblank=0
4	14	0	256	11	ZF7	719316	21.951782227	1311.125085	part=7; part_vblank=0; aux_part_vblank=0
5	6	0	320	11	Z00	899028	27.436157227	1638.693096	beat: beat_count++; beat_frame=part_vblank
5	6	63	383	10	Z21	1075932	32.834838867	1961.142857	cue20=1
5	6	63	383	11	ZF1	1075932	32.834838867	1961.142857	part=1; part_vblank=0; aux_part_vblank=0
7	8	0	448	9	Z00	1258452	38.404907227	2293.829118	beat: beat_count++; beat_frame=part_vblank
7	8	0	448	10	ZC1	1258452	38.404907227	2293.829118	subpart=1; subpart_vblank=0
7	8	0	448	11	ZF7	1258452	38.404907227	2293.829118	part=7; part_vblank=0; aux_part_vblank=0
8	9	0	512	10	ZC0	1438164	43.889282227	2621.397129	subpart=0; subpart_vblank=0
8	9	0	512	11	ZF5	1438164	43.889282227	2621.397129	part=5; part_vblank=0; aux_part_vblank=0
8	9	4	516	10	Z00	1449396	44.232055664	2641.870130	beat: beat_count++; beat_frame=part_vblank
8	9	12	524	10	Z00	1471860	44.917602539	2682.816131	beat: beat_count++; beat_frame=part_vblank
8	9	20	532	10	Z00	1494324	45.603149414	2723.762133	beat: beat_count++; beat_frame=part_vblank
8	9	28	540	10	Z00	1516788	46.288696289	2764.708134	beat: beat_count++; beat_frame=part_vblank
8	9	36	548	10	Z00	1539252	46.974243164	2805.654135	beat: beat_count++; beat_frame=part_vblank
